id_exp,alert_chain_delay,nb_siren_down,nb_cellbroadcast,new_siren,nb_dead_people
2,600.0,0,0,0,2400
3,600.0,0,0,0,2285
0,600.0,0,0,0,2351
1,600.0,0,0,0,2329
7,600.0,0,0,0,2378
5,600.0,0,0,0,2374
4,600.0,0,0,0,2391
6,600.0,0,0,0,2371
8,600.0,0,0,0,2391
9,600.0,0,0,0,2424
12,600.0,0,0,1,2338
11,600.0,0,0,1,2323
10,600.0,0,0,1,2412
13,600.0,0,0,1,2395
17,600.0,0,0,1,2375
16,600.0,0,0,1,2354
14,600.0,0,0,1,2385
15,600.0,0,0,1,2350
19,600.0,0,0,1,2376
18,600.0,0,0,1,2345
20,600.0,0,1,0,964
23,600.0,0,1,0,970
22,600.0,0,1,0,948
21,600.0,0,1,0,963
26,600.0,0,1,0,946
25,600.0,0,1,0,912
24,600.0,0,1,0,909
27,600.0,0,1,0,1015
29,600.0,0,1,0,996
28,600.0,0,1,0,957
32,600.0,0,1,1,905
33,600.0,0,1,1,965
30,600.0,0,1,1,944
31,600.0,0,1,1,985
34,600.0,0,1,1,948
37,600.0,0,1,1,991
35,600.0,0,1,1,952
36,600.0,0,1,1,949
38,600.0,0,1,1,924
39,600.0,0,1,1,927
42,600.0,1,0,0,2345
43,600.0,1,0,0,2398
41,600.0,1,0,0,2389
40,600.0,1,0,0,2371
45,600.0,1,0,0,2388
46,600.0,1,0,0,2338
44,600.0,1,0,0,2394
47,600.0,1,0,0,2354
48,600.0,1,0,0,2383
49,600.0,1,0,0,2349
51,600.0,1,0,1,2366
53,600.0,1,0,1,2378
52,600.0,1,0,1,2337
50,600.0,1,0,1,2372
57,600.0,1,0,1,2326
54,600.0,1,0,1,2329
55,600.0,1,0,1,2452
56,600.0,1,0,1,2367
59,600.0,1,0,1,2302
58,600.0,1,0,1,2472
62,600.0,1,1,0,931
60,600.0,1,1,0,999
61,600.0,1,1,0,930
63,600.0,1,1,0,976
67,600.0,1,1,0,868
65,600.0,1,1,0,965
66,600.0,1,1,0,987
64,600.0,1,1,0,975
68,600.0,1,1,0,1017
69,600.0,1,1,0,935
73,600.0,1,1,1,937
72,600.0,1,1,1,914
70,600.0,1,1,1,942
71,600.0,1,1,1,894
76,600.0,1,1,1,946
77,600.0,1,1,1,980
75,600.0,1,1,1,970
74,600.0,1,1,1,944
79,600.0,1,1,1,933
78,600.0,1,1,1,941
82,900.0,0,0,0,1866
83,900.0,0,0,0,1778
80,900.0,0,0,0,1782
81,900.0,0,0,0,1930
86,900.0,0,0,0,1769
85,900.0,0,0,0,1740
87,900.0,0,0,0,1907
84,900.0,0,0,0,1832
88,900.0,0,0,0,1715
89,900.0,0,0,0,1816
93,900.0,0,0,1,1796
90,900.0,0,0,1,1733
91,900.0,0,0,1,1715
92,900.0,0,0,1,1805
97,900.0,0,0,1,1726
95,900.0,0,0,1,1810
96,900.0,0,0,1,1773
94,900.0,0,0,1,1829
98,900.0,0,0,1,1830
99,900.0,0,0,1,1845
100,900.0,0,1,0,835
103,900.0,0,1,0,881
101,900.0,0,1,0,784
102,900.0,0,1,0,867
104,900.0,0,1,0,906
107,900.0,0,1,0,785
105,900.0,0,1,0,814
106,900.0,0,1,0,828
109,900.0,0,1,0,798
108,900.0,0,1,0,848
110,900.0,0,1,1,764
113,900.0,0,1,1,833
111,900.0,0,1,1,776
112,900.0,0,1,1,857
116,900.0,0,1,1,821
115,900.0,0,1,1,851
117,900.0,0,1,1,774
114,900.0,0,1,1,824
119,900.0,0,1,1,771
118,900.0,0,1,1,693
120,900.0,1,0,0,1838
123,900.0,1,0,0,1949
121,900.0,1,0,0,1943
122,900.0,1,0,0,2003
125,900.0,1,0,0,1824
126,900.0,1,0,0,1712
127,900.0,1,0,0,2003
124,900.0,1,0,0,1922
129,900.0,1,0,0,1820
128,900.0,1,0,0,1808
132,900.0,1,0,1,1810
130,900.0,1,0,1,1662
133,900.0,1,0,1,1785
131,900.0,1,0,1,1864
136,900.0,1,0,1,1728
134,900.0,1,0,1,1803
137,900.0,1,0,1,1884
135,900.0,1,0,1,1766
138,900.0,1,0,1,1781
139,900.0,1,0,1,1783
140,900.0,1,1,0,818
142,900.0,1,1,0,826
141,900.0,1,1,0,822
143,900.0,1,1,0,880
147,900.0,1,1,0,808
146,900.0,1,1,0,819
144,900.0,1,1,0,797
145,900.0,1,1,0,864
149,900.0,1,1,0,823
148,900.0,1,1,0,870
152,900.0,1,1,1,754
153,900.0,1,1,1,782
151,900.0,1,1,1,793
150,900.0,1,1,1,790
157,900.0,1,1,1,780
155,900.0,1,1,1,790
156,900.0,1,1,1,790
154,900.0,1,1,1,775
159,900.0,1,1,1,787
158,900.0,1,1,1,748
161,1080.0,0,0,0,1998
163,1080.0,0,0,0,2008
162,1080.0,0,0,0,2008
160,1080.0,0,0,0,2011
166,1080.0,0,0,0,1921
164,1080.0,0,0,0,1936
165,1080.0,0,0,0,2009
167,1080.0,0,0,0,1991
168,1080.0,0,0,0,1959
169,1080.0,0,0,0,1935
171,1080.0,0,0,1,1923
173,1080.0,0,0,1,1953
170,1080.0,0,0,1,1890
172,1080.0,0,0,1,1911
176,1080.0,0,0,1,1927
174,1080.0,0,0,1,1876
177,1080.0,0,0,1,1907
175,1080.0,0,0,1,2004
178,1080.0,0,0,1,1907
179,1080.0,0,0,1,1921
181,1080.0,0,1,0,1243
182,1080.0,0,1,0,1268
183,1080.0,0,1,0,1292
180,1080.0,0,1,0,1277
186,1080.0,0,1,0,1213
187,1080.0,0,1,0,1226
185,1080.0,0,1,0,1208
184,1080.0,0,1,0,1292
189,1080.0,0,1,0,1269
188,1080.0,0,1,0,1304
192,1080.0,0,1,1,1243
191,1080.0,0,1,1,1203
193,1080.0,0,1,1,1236
190,1080.0,0,1,1,1268
195,1080.0,0,1,1,1249
196,1080.0,0,1,1,1285
197,1080.0,0,1,1,1298
194,1080.0,0,1,1,1230
198,1080.0,0,1,1,1220
199,1080.0,0,1,1,1253
203,1080.0,1,0,0,1888
201,1080.0,1,0,0,1976
200,1080.0,1,0,0,1907
202,1080.0,1,0,0,1960
206,1080.0,1,0,0,1972
205,1080.0,1,0,0,1898
207,1080.0,1,0,0,2036
204,1080.0,1,0,0,2070
208,1080.0,1,0,0,2014
209,1080.0,1,0,0,2040
213,1080.0,1,0,1,1892
210,1080.0,1,0,1,1852
212,1080.0,1,0,1,1964
211,1080.0,1,0,1,1885
217,1080.0,1,0,1,1921
215,1080.0,1,0,1,1931
214,1080.0,1,0,1,1988
216,1080.0,1,0,1,1910
218,1080.0,1,0,1,1941
219,1080.0,1,0,1,1955
220,1080.0,1,1,0,1297
221,1080.0,1,1,0,1287
222,1080.0,1,1,0,1292
223,1080.0,1,1,0,1331
224,1080.0,1,1,0,1274
226,1080.0,1,1,0,1262
225,1080.0,1,1,0,1216
227,1080.0,1,1,0,1266
228,1080.0,1,1,0,1287
229,1080.0,1,1,0,1271
231,1080.0,1,1,1,1233
230,1080.0,1,1,1,1224
233,1080.0,1,1,1,1272
232,1080.0,1,1,1,1237
237,1080.0,1,1,1,1273
236,1080.0,1,1,1,1277
235,1080.0,1,1,1,1258
234,1080.0,1,1,1,1254
238,1080.0,1,1,1,1312
239,1080.0,1,1,1,1266
